#taskid,type,jobid,prefix,n,repetition
0,SERIAL,0,100_1,1,0
4,SERIAL,0,62500_1,1,0
15,SERIAL,0,10000_1,1,0
24,SERIAL,0,2500_1,1,0
1,MPI,1,100_2,2,0
5,MPI,1,62500_2,2,0
16,MPI,1,10000_2,2,0
25,MPI,1,2500_2,2,0
2,MPI,2,100_4,4,0
6,MPI,2,62500_4,4,0
17,MPI,2,10000_4,4,0
26,MPI,2,2500_4,4,0
3,MPI,3,100_8,8,0
7,MPI,3,62500_8,8,0
18,MPI,3,10000_8,8,0
27,MPI,3,2500_8,8,0
8,MPI,4,62500_16,16,0
19,MPI,4,10000_16,16,0
28,MPI,4,2500_16,16,0
9,MPI,5,62500_32,32,0
20,MPI,5,10000_32,32,0
29,MPI,5,2500_32,32,0
10,MPI,6,62500_64,64,0
21,MPI,6,10000_64,64,0
30,MPI,6,2500_64,64,0
11,MPI,7,62500_128,128,0
22,MPI,7,10000_128,128,0
12,MPI,8,62500_256,256,0
23,MPI,8,10000_256,256,0
13,MPI,9,62500_512,512,0
14,MPI,10,62500_1024,1024,0
